Label,CAGR,Volatility,Sharpe,Max DD,Calmar,Pct Invested
JM Strategy,0.05861937666676087,0.11221569449911867,0.5639446146414709,-0.15839003802049698,0.3700950981473661,0.7110352673492605
v_final PIT Hybrid,0.03573656172393669,0.10356195743453325,0.3910060957305043,-0.1647054960670816,0.21697249076243227,0.6848691695108078
Buy & Hold,0.18494467854045737,0.16640384566242844,1.1029534891429513,-0.19208988026015644,0.9628028206898668,0.9977246871444824
