,AR
2018-12-18,0.2569607128184878
2018-12-19,0.2569031457302645
2018-12-20,0.260338224494033
2018-12-21,0.2606026579763893
2018-12-24,0.2634956217626312
2018-12-26,0.26337812606247374
2018-12-27,0.2879376369138067
2018-12-28,0.2865079410792254
2018-12-31,0.2867599174054773
2019-01-02,0.2873781795761404
2019-01-03,0.29100625470824026
2019-01-04,0.2929016438313168
2019-01-07,0.30582090448027544
2019-01-08,0.30640725406973995
2019-01-09,0.3062952245224588
2019-01-10,0.3071127861125022
2019-01-11,0.3062242094264189
2019-01-14,0.3063284382807715
2019-01-15,0.30599766256911554
2019-01-16,0.3060810306000908
2019-01-17,0.305617572120572
2019-01-18,0.306007904513707
2019-01-22,0.3075045644597739
2019-01-23,0.31038799225833885
2019-01-24,0.31043883374848724
2019-01-25,0.3108476742129346
2019-01-28,0.31339488553982003
2019-01-29,0.31512656582687026
2019-01-30,0.3149336178830013
2019-01-31,0.315999277668556
2019-02-01,0.31581236339280366
2019-02-04,0.3186872631032341
2019-02-05,0.32165697947892236
2019-02-06,0.323630978728933
2019-02-07,0.32297840857160387
2019-02-08,0.32503288876850484
2019-02-11,0.32632981331150346
2019-02-12,0.32840624119313566
2019-02-13,0.3290257231839627
2019-02-14,0.32795399120984076
2019-02-15,0.32557385642521336
2019-02-19,0.3253455585879139
2019-02-20,0.3238256870159126
2019-02-21,0.3231440408644338
2019-02-22,0.3244813917785269
2019-02-25,0.31863114324303793
2019-02-26,0.3180754796270914
2019-02-27,0.3174566441897022
2019-02-28,0.31566971521510745
2019-03-01,0.3144549469730918
2019-03-04,0.31934810671726516
2019-03-05,0.31908315268104337
2019-03-06,0.3194797783337917
2019-03-07,0.32097655071840486
2019-03-08,0.3213366587170934
2019-03-11,0.32150899580678427
2019-03-12,0.3236665546119704
2019-03-13,0.32434479047495196
2019-03-14,0.3248047993439687
2019-03-15,0.3243326439130936
2019-03-18,0.32343892224251075
2019-03-19,0.3244365163977602
2019-03-20,0.3240987858981477
2019-03-21,0.32456922209890776
2019-03-22,0.32474585810149903
2019-03-25,0.3331978434111737
2019-03-26,0.33257093935497395
2019-03-27,0.3331872073456172
2019-03-28,0.3329144735060135
2019-03-29,0.3338822239281539
2019-04-01,0.3335620257836362
2019-04-02,0.3357476268577293
2019-04-03,0.3357407654334666
2019-04-04,0.3377810594680074
2019-04-05,0.33895314780308455
2019-04-08,0.3394080657499425
2019-04-09,0.3388593806061274
2019-04-10,0.3395674054040432
2019-04-11,0.3414711136488443
2019-04-12,0.3419632046114667
2019-04-15,0.3349534452619127
2019-04-16,0.3328741683789003
2019-04-17,0.333473064154287
2019-04-18,0.33198447552017163
2019-04-22,0.32657704813341165
2019-04-23,0.3263143268956104
2019-04-24,0.32449362149268823
2019-04-25,0.32443858302105444
2019-04-26,0.32438769945231394
2019-04-29,0.3240092217533482
2019-04-30,0.31179633686408753
2019-05-01,0.3105003059728494
2019-05-02,0.31105787663195567
2019-05-03,0.31096257125354154
2019-05-06,0.310759176610722
2019-05-07,0.31571998491660896
2019-05-08,0.31557061346255877
2019-05-09,0.317389321514587
2019-05-10,0.31424147245337297
2019-05-13,0.3168816937830589
2019-05-14,0.3284122796901057
2019-05-15,0.3327043714769072
2019-05-16,0.33261254766095244
2019-05-17,0.32991908674302406
2019-05-20,0.3325943677008422
2019-05-21,0.33299253444373644
2019-05-22,0.3336500937624645
2019-05-23,0.3366031300187069
2019-05-24,0.33873833316013424
2019-05-28,0.3359055731923179
2019-05-29,0.335110806589862
2019-05-30,0.3343805579172816
2019-05-31,0.3335527351580876
2019-06-03,0.3355337213408705
2019-06-04,0.3303181656252525
2019-06-05,0.3391849626999802
2019-06-06,0.340015043999239
2019-06-07,0.3370841422510296
2019-06-10,0.3202468994584348
2019-06-11,0.32116309915124364
2019-06-12,0.31723143167957546
2019-06-13,0.3185687390088578
2019-06-14,0.3200959050912837
2019-06-17,0.32089596579847024
2019-06-18,0.3181354105926196
2019-06-19,0.3176374244106704
2019-06-20,0.31280480990036064
2019-06-21,0.31413192033759757
2019-06-24,0.30956442846359306
2019-06-25,0.30905259698802057
2019-06-26,0.30383175412088054
2019-06-27,0.30049108753735343
2019-06-28,0.27778165379528724
2019-07-01,0.2793786228008206
2019-07-02,0.27959049491979443
2019-07-03,0.28142878367067437
2019-07-05,0.27795992958633453
2019-07-08,0.27446038131700823
2019-07-09,0.26033815387799375
2019-07-10,0.2585000083191307
2019-07-11,0.256825722824923
2019-07-12,0.25571346274530066
2019-07-15,0.2571899234587873
2019-07-16,0.2575577210681461
2019-07-17,0.2572694809367223
2019-07-18,0.2587890272603083
2019-07-19,0.2579535566128084
2019-07-22,0.2573312136134957
2019-07-23,0.2554408018084718
2019-07-24,0.25108344605784527
2019-07-25,0.2525534141059002
2019-07-26,0.2528017351079869
2019-07-29,0.25016405063932107
2019-07-30,0.2503331642983877
2019-07-31,0.252376372523466
2019-08-01,0.2510787821565021
2019-08-02,0.2577193729619194
2019-08-05,0.2557374857081117
2019-08-06,0.26339921980194786
2019-08-07,0.2619669983732631
2019-08-08,0.260362774540216
2019-08-09,0.2607506061278303
2019-08-12,0.2615801936843758
2019-08-13,0.2627249755120466
2019-08-14,0.26139603698796793
2019-08-15,0.27269896753685074
2019-08-16,0.2723195741863833
2019-08-19,0.27675959843777415
2019-08-20,0.28024423412565375
2019-08-21,0.2806551169071036
2019-08-22,0.2820982439358664
2019-08-23,0.28594050427708456
2019-08-26,0.29679187103044846
2019-08-27,0.29851557679313256
2019-08-28,0.30144158536244225
2019-08-29,0.3042961622933641
2019-08-30,0.30854581045738005
2019-09-03,0.30801353441820867
2019-09-04,0.3183968596474013
2019-09-05,0.31753378713873104
2019-09-06,0.3233012466277863
2019-09-09,0.3225992093330533
2019-09-10,0.3260711405067117
2019-09-11,0.32724739387556884
2019-09-12,0.32886098544826675
2019-09-13,0.3281100291492039
2019-09-16,0.3278005876863432
2019-09-17,0.32902719988376533
2019-09-18,0.3314716944979757
2019-09-19,0.32815121177536505
2019-09-20,0.32771877943683586
2019-09-23,0.3171020078889556
2019-09-24,0.3169603035621389
2019-09-25,0.31817164842253093
2019-09-26,0.319392219038397
2019-09-27,0.3191010253993835
2019-09-30,0.3191644542743248
2019-10-01,0.31652760186317486
